id,name,area,type,x,y,rel
25,南三小区,黄浦区,住宅区,591.8083074055612,516.1437416570261,0.2570351922786027
26,五金新邨,黄浦区,住宅区,431.5853741262108,322.16509729623795,0.13993475643167194
27,南昌路254弄小区,黄浦区,住宅区,537.6452044509351,486.0783466985449,0.2028468876827223
28,南昌路83弄小区,黄浦区,住宅区,562.0630349740386,402.529844223056,0.21848291377240847
29,孙顺里,黄浦区,住宅区,539.0135594140738,410.4915362023749,0.10929008254399955
30,平望小区,黄浦区,住宅区,2176.841635070741,2312.9568151696585,0.22150897038028766
31,同兴大楼,黄浦区,住宅区,2093.94778207317,2413.24778803112,0.1341048247374583
32,浙江中路118弄,黄浦区,住宅区,2306.313620764762,2330.6936412802897,0.1130103185970559
33,中福城-一期,黄浦区,住宅区,2227.4085000697523,2502.4642324526794,0.28977710745066665
34,中福城,黄浦区,住宅区,2085.314552748576,2497.179155889433,0.29312640661491185
35,中福城-二期,黄浦区,住宅区,2072.123241722584,2478.2953984900378,0.26167946962329225
36,平望街36弄,黄浦区,住宅区,2140.9283693749458,2289.7237466988154,0.16092275383467414
37,中怡公寓,黄浦区,住宅区,2379.844060003757,2555.22566187894,0.11953442280127678
38,广西北路200号小区,黄浦区,住宅区,2054.380304854363,2395.9147380488,0.23684660530243137
39,福州路614弄小区,黄浦区,住宅区,2138.615490280092,2431.5863007232547,0.18803049874792027
40,静安新邨,静安区,住宅区,599.5184111371636,2229.8559639262967,0.12440764696895577
41,王家沙花苑,静安区,住宅区,322.09243908151984,2397.486292332411,0.19903538202225401
42,卡德公寓,静安区,住宅区,216.69628146104515,2318.890831699595,0.10687770422304368
43,奉贤路68弄10-62号,静安区,住宅区,166.60084502398968,2294.180220426526,0.2818640804157564
44,凤阳路724弄51-71号,静安区,住宅区,258.4779623057693,2341.7489543328998,0.1517559963200034
45,德义大楼,静安区,住宅区,201.3920005261898,2190.8635045946576,0.23250445687079638
46,西王小区,静安区,住宅区,67.84721424989402,2284.7913223663345,0.1623422152178822
47,丽都新贵,静安区,住宅区,12.262695202603936,2653.977923618164,0.20401360423556214
48,凤阳路358弄2,黄浦区,住宅区,989.96049567312,2614.3611793713644,0.20934205586865592
49,福海公寓,黄浦区,住宅区,1072.2700551282614,3041.575893671717,0.1369708911051054
50,承兴里,黄浦区,住宅区,965.4540021009744,2947.388383270707,0.2939169255529117
51,平和里公寓,黄浦区,住宅区,1036.3997351769358,2728.9344450454228,0.2550265646722229
52,长新大楼,黄浦区,住宅区,1107.2088434230536,3167.6198270688765,0.2878997883128378
53,余庆里,黄浦区,住宅区,1129.1678903736174,2919.286586601287,0.27896547008552974
54,牯岭路145弄-6号,黄浦区,住宅区,1235.5874609798193,2801.23415836133,0.21957999576221704
55,牯岭路145弄-23号,黄浦区,住宅区,1299.7193170562389,2776.758819051553,0.28437484700462334
56,水景苑,黄浦区,住宅区,1195.9379941616207,3168.8280774094164,0.1176985004103839
57,人安里,黄浦区,住宅区,1268.7022750955075,2775.8048978652805,0.13919657248382905
