id,x,y
230,58771.676755901426,40268.931014627684
231,54432.4134623725,38472.58018321311
232,25094.15488814749,58775.583928513806
233,42014.69132545404,61326.547920299694
234,24066.653606379405,57900.16827201098
235,54237.56163682602,53856.9498370667
236,53148.58210766688,52623.09105360415
237,55280.66257172637,56163.715338492766
238,37268.06984006427,42087.362568593584
239,57136.32968119159,52925.98903942574
240,36773.83685976267,43948.94645020738
241,48436.009836638346,54951.76566857658
242,47442.1544022765,54235.81055741012
243,43912.76215493679,39577.850020588376
244,44423.37261801772,42180.70633560652
245,59228.95853112638,54001.49401773512
246,44475.50667344406,62565.51052792603
247,62131.18103679828,56520.497480011545
248,56382.71407599561,44078.8866995424
249,56463.39338669367,40164.92299646605
250,57462.910693861544,40461.80793561367
251,62613.35873179883,43107.07458185684
252,58513.64200073294,42408.93692634767
253,62359.50755809806,43874.85000338359
254,54190.40049739368,40688.81138770981
255,49635.051861258224,44872.1226549265
256,61523.43762580305,54724.20620502625
257,61021.39039988443,46188.954796620645
258,52904.29335146211,50952.035653220024
259,57004.28501139954,51421.87244157912
260,55435.4060452804,47203.94791878853
261,56308.13271624409,55995.97564123571
262,58459.89833740331,53765.94907149067
263,15353.759779902175,51925.316521301866
264,35607.22232535854,58524.357776362915
265,34079.87939260714,35726.34093727777
266,41107.90952035785,53354.15216378728
267,46946.13062973693,54257.48094373988
268,41595.10698863678,49490.077766455244
269,46780.31268884987,46663.48908606358
270,46702.36767706089,40846.94454308739
271,38297.665260367095,39350.7757350984
272,36881.818467279896,40702.604448077735
273,32625.10275275074,43040.463417245075
274,34044.041642941535,45553.39336587582
275,37033.15113139339,47448.263705403544
276,38120.97831658274,40718.91255368991
277,37087.19004272297,39644.62107810285
278,58931.86945250444,39023.36860320764
279,33427.242859609425,38801.16249513207
280,40482.86480234936,39732.48201453453
281,39372.86963290535,43390.000213981606
282,39310.6599642057,41379.5222876342
283,28655.585474776104,48656.51857330697
284,38697.62526092678,40692.080972964875
285,28154.256705874577,40154.44678186998
286,48097.21040775627,32167.948195239995
287,47770.01526704244,56625.48610758642
288,51106.19776908681,51756.007459655404
289,48920.51763789356,50586.08742326731
290,48676.150910427794,55943.957595892716
291,48767.291257238016,48179.75058880355
292,38579.95939209685,53559.35152243823
293,42150.795785794035,55586.580515244044
294,57347.82719339989,56085.82257369254
295,51643.50798278861,53092.595964507665
296,54521.755284497514,53366.23457102291
297,42941.971417492256,53201.541700652335
298,60387.96836036816,65633.85075842403
299,42662.547477860004,60800.99689405691
300,58109.2131309472,44807.94169344148
301,35108.64380583726,44652.40408956446
302,36260.76344732195,40156.08580994466
303,44067.81404302083,37627.12947863992
304,36151.58053270355,41099.999224084895
305,58540.13232199103,55555.30153956637
306,57683.99082331546,51538.80326651037
307,12804.395736262202,24385.265281086322
308,65135.675287211314,78090.26585046621
309,39032.22640613839,24263.467356476933
310,32964.41227139905,16630.654862642754
311,33123.59669494815,11644.516184183303
312,59506.28069242835,47838.26247702958
313,59756.12108782865,51750.03237759275
314,53637.617835097015,52922.170047577005
315,56232.47354491986,49830.54318777658
316,58126.204394795,39765.53403911227
317,53396.00440872647,53841.40200339025
318,61501.20093198866,57581.3396386588
319,14544.462148863822,34948.64670412848
320,38836.43666534871,40636.60874444805
321,51721.78587857634,57335.02555642882
322,26726.036691134796,53893.44823642634
323,20149.848804514855,36788.62639763206
324,57265.46080005914,39097.35617195023
325,52722.61234145798,47142.93007919192
326,63517.19817305356,55103.9242335232
327,55665.0599644091,51190.83385234792
328,31153.266737937927,51233.26574116154
329,41137.51754703373,34947.30839662021
330,48693.40866696276,45160.18594224425
331,50239.026711279526,46401.2444308782
332,34119.85907117464,46680.30601072172
333,37115.821027543396,38300.15579978097
334,24055.00898426026,42698.43618148286
335,59837.001230280846,57507.432468955405
336,48209.211154157296,53906.0132580325
337,33710.256057659164,43307.19719143305
338,54757.44293121621,54001.18348967796
339,56016.47554950975,40518.163106600754
340,54435.779719354585,48651.79113128688
341,49368.444474240765,52225.14410001272
342,36753.50794444792,44358.07286686357
343,38160.77423962206,33198.79761632206
344,62920.76032384671,49414.71600717865
