id,x,y
63,54484.2770958934,66293.94532983983
64,72798.21207664348,69813.2910697097
65,66383.20865838788,71475.21129619144
66,67530.21101663262,71373.93774643261
67,69683.6857716646,70164.16970000137
68,64282.34942632541,70290.68969097221
69,66976.75441665947,69658.36241266783
70,69131.80445504189,70036.95437885402
71,68680.70173273236,68672.08136903308
72,65570.42302662693,69679.48937513679
73,70627.80308324844,77050.81667369418
74,70407.94944169559,75613.23078581085
75,69583.66367112659,69359.23518817639
76,60166.02581421286,69386.96313546319
77,63694.89582128078,69256.35859931447
78,65507.791624851525,67624.08305500541
79,68504.29221391492,69968.93780040555
80,68683.84705925919,69742.13513918314
81,68078.70269577019,70364.40265152184
82,68204.07140006498,69935.8580668401
83,63315.61412912235,62524.1169817904
84,61586.4193713963,65911.31363282818
85,67749.51775073074,69720.16071504867
86,64295.2741670385,68499.20057281386
87,62697.14582767524,67151.27224455262
88,67133.18695692532,69576.63532430073
89,60974.790548147634,69662.36124611786
90,62790.59330630675,68113.0695514651
91,64935.73805646412,69509.59766605031
92,62189.44872712903,69281.29197907494
93,61528.4163852334,68938.14078807645
94,66386.93571757339,68538.02326310007
95,68502.96874565817,69479.03215160221
96,65815.82723715156,68872.3647620352
97,61171.859635287896,68702.49815451587
98,66634.0177735705,71343.63817953598
99,61030.484568398446,67536.35467298282
100,65037.61877954006,68303.02776729641
101,63260.69888518937,63841.08684883779
102,69030.34897251241,68556.55225438392
103,70038.07179284468,77079.52005324652
104,63959.53092344664,69068.86233807355
105,62310.91755851731,67054.5527104768
106,62916.2474163454,74517.81713459175
107,59444.84625245072,58824.491358285304
108,60675.375979987904,72190.00701635284
109,67203.83289423026,68091.28714624094
110,66205.06568263657,72424.09812401608
111,66937.23737843335,72941.77509321366
112,68055.29116483033,73423.54815841
113,71285.91076900996,71933.19170429837
114,73626.08986651711,72218.65040699532
115,70445.05092685483,66378.43804660765
116,70772.07421437278,67663.24709985452
117,60861.90176603384,62387.39593547443
118,62314.27582954615,63707.29346539173
119,60446.48148068972,62529.461173129734
120,63088.30257253535,64578.025979955215
121,64730.24336672202,64690.774757002015
122,58101.891249289736,61577.97669134848
123,66147.22128406726,69205.79952756455
124,65432.5908663068,70827.46462596906
125,67763.83810683526,74971.63029268105
126,63518.2001234889,71802.45976087172
127,64483.63340844959,70513.14214332355
128,65517.877727782354,69706.71634404128
129,65672.12969190069,67454.31957653165
130,66403.87239314616,62661.59375027334
131,65220.1497205589,61312.69714327715
132,67760.05628944002,65628.93942393595
133,37421.29523560777,50644.11286437232
134,66048.57427369617,69925.67776400968
135,69924.17818030529,68626.30291166296
136,64424.48964930512,69467.69852486067
137,66037.43545849435,69298.56455266802
138,60783.36971352808,68659.873021218
139,66976.57030940615,59998.18676210102
140,65315.04121928848,60015.75326946797
141,66470.232123252,57726.01893039001
142,65266.055856509134,53254.32416753657
143,60860.5326731205,68057.73939277278
144,62911.80439573154,27311.810024711303
145,62005.49907230586,69507.83826232236
146,65325.11447978951,70904.57490199199
147,69971.80292759836,68318.76863123663
148,63791.97500399314,68606.64759439044
149,60619.25509881601,67334.15985701093
150,65114.99835832231,67935.28451898647
151,61819.33901810646,69398.31579433754
152,60389.96521695331,67395.41209407896
153,65564.72268754244,70439.94441230642
154,64368.79202357493,67707.60327333352
155,64525.111734971404,69491.58146754047
156,66946.31711213477,71580.73739237199
157,61992.950004443526,67222.13573663961
158,62207.75131345168,66407.59227516316
159,65208.188950918615,70773.67363377195
160,67968.28699047118,69415.07635758305
161,68503.33207271993,68221.91674284916
162,61912.08986788429,69524.88526130933
163,61060.439400224015,67086.47027870035
164,65179.86774968356,68247.37799092522
165,65039.76264348626,69863.75489621563
166,61576.81632869877,69152.05635399371
167,66086.03989435919,67773.32956246333
